,Features,abs_coef,coef,exp(coef)
0,review_count,1.01031942911,-1.01031942911,0.364102656008
1,Score Recent,0.243453361533,-0.243453361533,0.783916035822
2,Score Max,0.374365840719,0.374365840719,1.45406901082
3,Score Min,0.271286194386,0.271286194386,1.31165040365
4,Score Average,0.481807022109,-0.481807022109,0.617666246194
5,Score StdDev,0.0853246743753,-0.0853246743753,0.918214115406
6,Grade A Count,0.413890034017,-0.413890034017,0.661073642882
7,Grade B Count,0.233922889677,-0.233922889677,0.791422840413
8,Grade C Count,0.146334160554,-0.146334160554,0.86386898401
9,Not Yet Graded,0.214284638997,-0.214284638997,0.80711861489
10,P Count,0.0539711148583,0.0539711148583,1.05545411477
11,Z Count,0.137103070188,-0.137103070188,0.871880356628
12,Inspection,0.117693022928,0.117693022928,1.12489874024
13,Times_Graded,0.183703728031,-0.183703728031,0.832182319601
14,BORO__BROOKLYN,0.269625741589,-0.269625741589,0.763665249003
15,BORO__MANHATTAN,0.0579836663365,-0.0579836663365,0.943665360823
16,BORO__QUEENS,0.221341575561,0.221341575561,1.24774955854
17,price__$11-30,0.320661723847,0.320661723847,1.37803934419
18,price__$31-60,0.32916996602,0.32916996602,1.38981405668
19,price__Above $61,7.0420118771e-05,7.0420118771e-05,1.0000704226
20,price__Under $10,0.606435783878,0.606435783878,1.83388337973
21,cuisine_American,0.368529186065,-0.368529186065,0.691751019813
22,cuisine_Asian,0.314521593527,-0.314521593527,0.730138093518
23,cuisine_Caribbean,0.0666668481993,-0.0666668481993,0.935506815207
24,cuisine_Chinese,0.367603839697,-0.367603839697,0.69239142536
25,cuisine_French,0.11227215999,-0.11227215999,0.893800967533
26,cuisine_Greek,0.0149219117383,0.0149219117383,1.0150337993
27,cuisine_Italian,0.0759357929475,-0.0759357929475,0.926875716607
28,cuisine_Japanese,0.209165870353,-0.209165870353,0.811260660391
29,cuisine_Korean,0.146366388907,-0.146366388907,0.863841143384
30,"cuisine_Latin (Cuban, Dominican, Puerto Rican, South & Central American)",0.0858017857387,-0.0858017857387,0.91777612951
31,cuisine_Mediterranean,0.123444805992,-0.123444805992,0.883870424249
32,cuisine_Mexican,0.149938385765,-0.149938385765,0.860761009922
33,cuisine_Middle Eastern,0.179040393685,0.179040393685,1.19606905683
34,cuisine_Pizza,0.299906653436,0.299906653436,1.34973280877
35,cuisine_Seafood,0.0427155850965,-0.0427155850965,0.95818387309
36,cuisine_Spanish,0.0590040884233,0.0590040884233,1.06077957765
37,cuisine_Thai,0.00591052356325,0.00591052356325,1.00592802517
38,cuisine_Vietnamese/Cambodian/Malaysia,0.238670272471,-0.238670272471,0.787674557545
