,Features,Importance Score
0,review_count,0.172035420917
5,Score Average,0.0883750786385
1,Score Count,0.0843375953586
3,Score Max,0.0772106745229
6,Score StdDev,0.071789841749
4,Score Min,0.0598265963097
2,Score Recent,0.0592425901177
7,Grade A Count,0.0514565731796
14,Times_Graded,0.0462995147197
13,Inspection,0.0444930230167
17,BORO__QUEENS,0.022826723213
21,price__Under $10,0.0181264688798
15,BORO__BROOKLYN,0.0171616189408
22,cuisine_American,0.0165926376851
18,price__$11-30,0.0163192646547
16,BORO__MANHATTAN,0.0161474980338
19,price__$31-60,0.0133501393717
8,Grade B Count,0.01232421557
38,cuisine_Thai,0.00969196959751
28,cuisine_Italian,0.00873455540492
29,cuisine_Japanese,0.00744220358432
37,cuisine_Spanish,0.00740126991673
34,cuisine_Middle Eastern,0.00699761953671
10,Not Yet Graded,0.00652667644253
23,cuisine_Asian,0.00644603802055
26,cuisine_French,0.00610146411579
20,price__Above $61,0.00578942173351
25,cuisine_Chinese,0.00578129578644
35,cuisine_Pizza,0.00555170754012
9,Grade C Count,0.00546226991965
33,cuisine_Mexican,0.00514510123339
36,cuisine_Seafood,0.00428337157004
27,cuisine_Greek,0.00373607786789
30,cuisine_Korean,0.00341234009412
32,cuisine_Mediterranean,0.00294076074553
31,"cuisine_Latin (Cuban, Dominican, Puerto Rican, South & Central American)",0.00252844960885
24,cuisine_Caribbean,0.00229199383905
11,P Count,0.00212850432842
12,Z Count,0.00190407423823
39,cuisine_Vietnamese/Cambodian/Malaysia,0.00178735999779
